Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,231.73,231.87,226.85,228.45,7405706.0,228.508591
2021-01-05 05:00:00+00:00,228.21,230.1,226.847,227.47,5531573.0,227.845406
2021-01-06 05:00:00+00:00,229.49,232.68,227.55,230.27,9012829.0,230.934653
2021-01-07 05:00:00+00:00,232.78,233.9643,231.33,232.88,4693848.0,232.853153
2021-01-08 05:00:00+00:00,233.4,234.6,231.72,234.03,4850601.0,233.520893
2021-01-11 05:00:00+00:00,231.22,233.92,231.02,233.43,3882330.0,233.163775
2021-01-12 05:00:00+00:00,233.41,233.98,231.7,233.03,5618722.0,232.967792
2021-01-13 05:00:00+00:00,232.0,234.95,231.71,234.51,3828413.0,233.489643
2021-01-14 05:00:00+00:00,234.79,235.7,233.8372,235.02,4530181.0,234.837883
2021-01-15 05:00:00+00:00,234.1,234.59,231.91,233.49,5226415.0,233.45422
2021-01-19 05:00:00+00:00,234.64,236.24,231.7,234.55,5503127.0,234.348552
2021-01-20 05:00:00+00:00,234.0,235.2,233.24,234.76,4876514.0,234.348421
2021-01-21 05:00:00+00:00,234.63,236.2,234.08,234.16,4319793.0,234.911093
2021-01-22 05:00:00+00:00,232.5,233.83,232.21,232.92,4465090.0,233.035157
2021-01-25 05:00:00+00:00,231.75,233.52,230.45,233.01,5098897.0,232.156478
2021-01-26 05:00:00+00:00,233.0,233.5,231.33,231.57,3945915.0,232.074695
2021-01-27 05:00:00+00:00,230.0,230.0,226.1,227.36,8230374.0,227.683155
2021-01-28 05:00:00+00:00,229.76,233.51,228.16,230.95,5943918.0,231.671027
2021-01-29 05:00:00+00:00,229.45,229.97,227.21,227.87,6388092.0,228.450304
2021-02-01 05:00:00+00:00,230.0,230.5,228.04,229.32,4068409.0,229.246302
2021-02-02 05:00:00+00:00,231.21,233.43,230.665,232.24,5302328.0,232.367763
2021-02-03 05:00:00+00:00,232.4,233.16,231.28,232.68,3807540.0,232.273896
2021-02-04 05:00:00+00:00,232.84,235.905,232.41,235.77,4452386.0,235.019188
2021-02-05 05:00:00+00:00,236.97,236.98,234.83,235.16,3812966.0,235.625986
2021-02-08 05:00:00+00:00,236.0,237.56,235.35,237.42,3329703.0,236.598215
2021-02-09 05:00:00+00:00,237.07,240.78,235.66,239.91,4774458.0,238.805797
2021-02-10 05:00:00+00:00,241.32,241.52,239.04,239.92,3825592.0,240.087468
2021-02-11 05:00:00+00:00,239.36,240.44,238.88,239.76,2909640.0,239.620416
2021-02-12 05:00:00+00:00,238.07,242.76,238.03,242.46,3425207.0,241.168845
2021-02-16 05:00:00+00:00,244.14,247.26,242.82,245.28,4726101.0,245.314404
2021-02-17 05:00:00+00:00,244.14,246.19,244.0,245.25,4324241.0,245.271245
2021-02-18 05:00:00+00:00,244.8,245.49,241.67,243.5,4049896.0,243.338536
2021-02-19 05:00:00+00:00,244.7,244.95,241.36,241.85,4254656.0,242.831419
2021-02-22 05:00:00+00:00,240.89,245.9801,240.8,244.97,4013145.0,244.278104
2021-02-23 05:00:00+00:00,245.03,246.57,243.29,245.53,5455367.0,245.07338
2021-02-24 05:00:00+00:00,246.0,249.55,245.15,248.45,5106898.0,248.070686
2021-02-25 05:00:00+00:00,248.07,250.56,242.927,243.69,6459817.0,246.349868
2021-02-26 05:00:00+00:00,244.98,245.15,240.25,240.51,8087759.0,241.536214
2021-03-01 05:00:00+00:00,247.0,250.55,246.09,249.21,6334166.0,248.853546
2021-03-02 05:00:00+00:00,249.0,251.34,248.37,249.22,4686124.0,249.693967
2021-03-03 05:00:00+00:00,249.53,254.81,249.29,251.55,6093204.0,252.894549
2021-03-04 05:00:00+00:00,250.76,252.55,243.23,245.48,7843543.0,247.202689
2021-03-05 05:00:00+00:00,249.3,253.45,247.325,253.15,6401890.0,250.87472
2021-03-08 05:00:00+00:00,254.95,260.23,253.73,257.61,7135779.0,257.71679
2021-03-09 05:00:00+00:00,258.0,262.94,255.61,259.02,8276597.0,259.876867
2021-03-10 05:00:00+00:00,260.65,267.5,259.64,263.99,8945700.0,263.837061
2021-03-11 05:00:00+00:00,263.56,264.8,260.4199,260.91,5921549.0,262.080736
2021-03-12 05:00:00+00:00,263.05,264.65,259.67,260.02,4498086.0,261.463687
2021-03-15 04:00:00+00:00,260.0,260.44,253.52,254.61,6979049.0,255.370889
2021-03-16 04:00:00+00:00,253.22,254.53,249.82,251.5,6720786.0,251.404608
2021-03-17 04:00:00+00:00,252.18,254.28,250.6601,252.0,6775745.0,252.031947
2021-03-18 04:00:00+00:00,254.0,255.64,251.38,252.46,5558018.0,253.527869
2021-03-19 04:00:00+00:00,252.49,252.5,248.52,250.99,16649846.0,250.97027
2021-03-22 04:00:00+00:00,250.4,251.67,248.86,250.36,5370835.0,250.319151
2021-03-23 04:00:00+00:00,250.1,251.17,247.71,248.31,4624233.0,249.247731
2021-03-24 04:00:00+00:00,249.16,251.89,248.5,249.63,4167843.0,250.469413
2021-03-25 04:00:00+00:00,249.65,251.53,246.79,250.75,5505215.0,249.212055
2021-03-26 04:00:00+00:00,252.5,257.39,252.42,256.77,5801970.0,254.488329
2021-03-29 04:00:00+00:00,254.23,260.05,253.3,258.82,6643130.0,258.229895
