Datetime,Close,High,Low,Open,Volume,Weighted Volume
2021-01-01 06:00:00+00:00,29631.0,29631.0,28750.0,29225.0,25.0765,29330.8267660957
2021-01-02 06:00:00+00:00,33666.5,34172.5,29566.5,29585.0,237.1624,32113.1735426864
2021-01-03 06:00:00+00:00,32919.0,34820.5,32335.0,33791.5,291.5292,33900.4502085897
2021-01-04 06:00:00+00:00,30464.5,33448.5,27794.0,33013.0,642.743,30211.437917488
2021-01-05 06:00:00+00:00,34863.0,35878.5,29900.0,30493.0,999.8524,32039.9480632841
2021-01-06 06:00:00+00:00,37552.5,37816.5,33728.5,35174.0,72.5406,35558.7134659763
2021-01-07 06:00:00+00:00,38011.5,40382.0,36370.5,37580.0,189.9986,38265.1929972116
2021-01-08 06:00:00+00:00,39306.5,41939.0,37629.0,37987.0,891.9847,40220.644006562
2021-01-09 06:00:00+00:00,40559.5,41440.0,39087.5,39306.5,805.9455,40050.3381380006
2021-01-10 06:00:00+00:00,34562.0,41145.5,33714.0,40503.5,2719.2478,36814.4071550963
2021-01-11 06:00:00+00:00,35721.0,36227.5,30243.0,34770.0,1749.5832,33505.0722125704
2021-01-12 06:00:00+00:00,33047.0,36554.0,32422.0,35967.0,659.7865,33961.489288732
2021-01-13 06:00:00+00:00,37600.0,38125.0,33368.0,33368.0,1382.6692,36055.4580933024
2021-01-14 06:00:00+00:00,37809.0,40120.0,37549.0,37549.0,80.0311,38741.5835406486
2021-01-15 06:00:00+00:00,35675.0,38726.0,34600.0,37663.0,87.252,36533.6669245404
2021-01-16 06:00:00+00:00,35528.0,37908.0,35500.0,35896.0,38.5548,36715.354759978
2021-01-17 06:00:00+00:00,35400.0,36684.0,33840.0,35369.0,1099.4207,35438.7865419489
2021-01-18 06:00:00+00:00,36301.0,37408.0,35113.0,35347.0,1287.2064,36782.5998851466
2021-01-19 06:00:00+00:00,35458.0,37794.0,34773.0,36246.0,448.3384,36382.2938922921
2021-01-20 06:00:00+00:00,34529.0,35776.0,33434.0,35443.0,1613.6406,34738.5531690266
2021-01-21 06:00:00+00:00,31885.0,34647.0,28874.0,34511.0,2960.55,31302.8010884802
2021-01-22 06:00:00+00:00,33303.0,33791.0,30559.0,31847.0,416.1325,33004.407950112
2021-01-23 06:00:00+00:00,32801.0,33484.0,31499.0,33406.0,45.8619,32235.2550395862
2021-01-24 06:00:00+00:00,33266.0,33768.0,30946.0,33058.0,303.281,32426.7217893637
2021-01-25 06:00:00+00:00,32287.0,34846.0,31501.0,33483.0,1322.1731,32769.5581034737
2021-01-26 06:00:00+00:00,31526.0,32830.0,30900.0,31936.0,455.9741,31636.0234530865
2021-01-27 06:00:00+00:00,31622.0,31719.0,29275.0,31606.0,2268.0393,30676.9610523504
2021-01-28 06:00:00+00:00,33016.0,34412.0,31019.0,31807.0,1143.9429,32198.4179926288
2021-01-29 06:00:00+00:00,33467.0,38579.0,31984.0,32947.0,1324.4976,33785.4029794391
2021-01-30 06:00:00+00:00,33749.0,34752.0,33196.0,33423.0,1054.5087,34058.4863899179
2021-01-31 06:00:00+00:00,33779.0,34181.0,32187.0,33710.0,974.5087,32611.185938104
2021-02-01 06:00:00+00:00,33992.0,34697.0,33145.0,33787.0,815.6117,33830.6801907084
2021-02-02 06:00:00+00:00,36514.0,36891.0,33997.0,33997.0,271.568,35706.1158976757
2021-02-03 06:00:00+00:00,37652.0,38300.0,35593.0,36623.0,248.0146,37078.2543955074
2021-02-04 06:00:00+00:00,37198.0,38753.0,36257.0,37617.0,473.3276,37126.3215259368
2021-02-05 06:00:00+00:00,39065.0,39700.0,37248.0,37489.0,942.6496,38579.4808401765
2021-02-06 06:00:00+00:00,38586.0,40935.0,37991.0,39026.0,566.6769,40303.7877949498
2021-02-07 06:00:00+00:00,38690.0,39725.0,37429.0,38585.0,71.559,38379.361081066
2021-02-08 06:00:00+00:00,47000.0,47566.0,38722.0,38722.0,1396.3864,44235.1519194114
2021-02-09 06:00:00+00:00,46157.0,48158.0,44921.0,46769.0,279.0328,46433.9986023149
2021-02-10 06:00:00+00:00,44672.0,47336.0,43711.0,46188.0,620.8316,44772.9788552967
2021-02-11 06:00:00+00:00,47392.0,49053.0,44459.0,44683.0,681.3354,47895.2186243369
2021-02-12 06:00:00+00:00,47984.0,48220.0,46182.0,47234.0,500.7414,47208.4526757724
2021-02-13 06:00:00+00:00,48821.0,48966.0,46265.0,47840.0,407.7111,47491.6670951563
2021-02-14 06:00:00+00:00,46783.0,49768.0,45798.0,49061.0,394.1538,46912.6588537266
2021-02-15 06:00:00+00:00,49122.0,50045.0,46730.0,46730.0,141.6993,48433.7696036607
2021-02-16 06:00:00+00:00,49704.0,50632.0,47800.0,49148.0,367.8712,49419.5539550256
2021-02-17 06:00:00+00:00,52136.0,52636.0,49709.0,49709.0,339.3422,51266.0949799347
2021-02-18 06:00:00+00:00,51413.0,52265.0,50841.0,52166.0,98.2971,51643.7314712235
2021-02-19 06:00:00+00:00,55684.0,56674.0,51479.0,51500.0,145.9709,54535.4674548146
2021-02-20 06:00:00+00:00,56551.0,57503.0,54004.0,55701.0,115.6422,56181.440061673
2021-02-21 06:00:00+00:00,55711.0,58329.0,55113.0,56566.0,211.2919,56838.9147638883
2021-02-22 06:00:00+00:00,50000.0,56613.0,47068.0,55779.0,1485.0753,52954.6276743004
2021-02-23 06:00:00+00:00,50189.0,51310.0,43917.0,49622.0,2818.7034,47224.6606804746
2021-02-24 06:00:00+00:00,50280.0,51249.0,48124.0,50220.0,1406.1648,50289.0717271546
2021-02-25 06:00:00+00:00,45501.0,52000.0,45501.0,50503.0,843.358,48677.5941462582
2021-02-26 06:00:00+00:00,47725.0,48347.0,44138.0,45501.0,720.5015,45976.2674181803
2021-02-27 06:00:00+00:00,44654.0,48305.0,44400.0,47852.0,112.1884,46012.5503189278
2021-02-28 06:00:00+00:00,46109.0,46851.0,43003.0,44500.0,91.0165,44378.8851526921
2021-03-01 06:00:00+00:00,48749.0,50224.0,45863.0,46241.0,266.3889,48963.8925904946
2021-03-02 06:00:00+00:00,49099.0,49661.0,47098.0,48708.0,248.7421,48072.3902025431
2021-03-03 06:00:00+00:00,49629.0,52609.0,49045.0,49372.0,374.0939,50761.7218340101
2021-03-04 06:00:00+00:00,47182.0,50607.0,46300.0,49620.0,309.9853,48284.8277660263
2021-03-05 06:00:00+00:00,48533.0,49435.0,46498.0,47278.0,154.3125,48418.8719863913
2021-03-06 06:00:00+00:00,49347.0,49822.0,47060.0,48643.0,89.2195,48237.0952482361
2021-03-07 06:00:00+00:00,50739.0,51777.0,49162.0,49408.0,81.4864,50978.13593434
2021-03-08 06:00:00+00:00,54148.0,54372.0,49389.0,50882.0,120.9438,51921.908149901
2021-03-09 06:00:00+00:00,53680.0,55861.0,52990.0,54263.0,163.872,54189.5360879223
2021-03-10 06:00:00+00:00,55263.0,57419.0,53641.0,53674.0,933.0067,56340.7322445809
2021-03-11 06:00:00+00:00,57213.0,58132.0,54309.0,55111.0,987.5468,55875.986930746
2021-03-12 06:00:00+00:00,56691.0,57718.0,55146.0,57184.0,857.3697,57074.561399359
2021-03-13 06:00:00+00:00,61043.0,61776.0,56604.0,56779.0,1196.8642,59909.2092549013
2021-03-14 06:00:00+00:00,59712.0,61114.0,58755.0,60878.0,516.131,59897.8743359728
2021-03-15 05:00:00+00:00,54385.0,59854.0,53311.0,59809.0,642.3061,55409.9312326319
2021-03-16 05:00:00+00:00,55590.0,57232.0,53577.0,54385.0,108.9037,55821.2677163402
2021-03-17 05:00:00+00:00,58811.0,59640.0,54188.0,55468.0,191.4893,57195.531708038
2021-03-18 05:00:00+00:00,57954.0,60007.0,56313.0,58811.0,394.4119,57707.6303689113
2021-03-19 05:00:00+00:00,58195.0,59487.0,57462.0,57904.0,83.8033,58459.7127117906
2021-03-20 05:00:00+00:00,56810.0,59923.0,56789.0,58305.0,89.5666,58275.3106325349
