Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,103.13999938964844,106.33000183105469,102.7699966430664,106.0999984741211,104.6667709350586,7797800,,,,,,,10,21,60,53,-60,-53,105.06666564941406,,,,,,,,0
2022-01-04,105.7300033569336,107.48999786376953,105.38999938964844,106.38999938964844,104.95286560058594,7680600,,,,,,,10,21,60,53,-60,-53,106.42333221435547,,,,,,,,0
2022-01-05,107.13999938964844,108.98999786376953,106.0,106.01000213623047,104.57799530029297,7206000,,,,,,,10,21,60,53,-60,-53,107.0,,,,,,,,0
2022-01-06,106.29000091552734,106.80999755859375,104.62000274658203,104.97000122070312,103.55204772949219,5207000,,,,,,,10,21,60,53,-60,-53,105.46666717529297,,,,,,,,0
2022-01-07,104.0,105.83000183105469,103.86000061035156,105.16000366210938,103.7394790649414,5142200,,,,,,,10,21,60,53,-60,-53,104.9500020345052,,,,,,,,0
2022-01-10,104.94000244140625,105.6500015258789,103.62000274658203,105.62000274658203,104.19326782226562,6500500,,,,,,,10,21,60,53,-60,-53,104.96333567301433,,,,,,,,0
2022-01-11,106.08000183105469,108.06999969482422,106.0,107.88999938964844,106.43260192871094,7217100,,,,,,,10,21,60,53,-60,-53,107.31999969482422,,,,,,,,0
2022-01-12,107.70999908447266,109.2300033569336,107.5,108.94999694824219,107.478271484375,8421600,,,,,,,10,21,60,53,-60,-53,108.56000010172527,,,,,,,,0
2022-01-13,108.7300033569336,110.5999984741211,108.44999694824219,108.77999877929688,107.31057739257812,5165400,,82.81670909120906,68.37812324678725,,,,10,21,60,53,-60,-53,109.27666473388672,,,,,,,,0
2022-01-14,108.08999633789062,108.8499984741211,107.23999786376953,108.55000305175781,107.08368682861328,6291500,,79.8549029681868,77.753717258973,,,,10,21,60,53,-60,-53,108.21333312988281,106.72400004069009,,,,,,,0
