Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,90.68000030517578,90.8499984741211,88.37999725341797,89.12999725341797,87.79666900634766,1484600,,,,,,,10,21,60,53,-60,-53,89.45333099365234,,,,,,,,0
2022-01-04,88.9000015258789,90.33000183105469,88.3499984741211,88.38999938964844,87.06774139404297,1861700,,,,,,,10,21,60,53,-60,-53,89.02333323160808,,,,,,,,0
2022-01-05,88.16000366210938,90.38999938964844,88.16000366210938,89.2300033569336,87.89517974853516,1180200,,,,,,,10,21,60,53,-60,-53,89.26000213623047,,,,,,,,0
2022-01-06,89.3499984741211,89.83000183105469,88.5199966430664,88.9000015258789,87.57012176513672,1146400,,,,,,,10,21,60,53,-60,-53,89.08333333333333,,,,,,,,0
2022-01-07,88.95999908447266,90.2300033569336,88.19999694824219,89.66000366210938,88.31874084472656,1043800,,,,,,,10,21,60,53,-60,-53,89.36333465576172,,,,,,,,0
2022-01-10,88.61000061035156,89.58000183105469,88.16000366210938,88.98999786376953,87.65876770019531,1537100,,,,,,,10,21,60,53,-60,-53,88.91000111897786,,,,,,,,0
2022-01-11,89.05999755859375,89.45999908447266,85.83000183105469,86.62999725341797,85.33406829833984,1902800,,,,,,,10,21,60,53,-60,-53,87.30666605631511,,,,,,,,0
2022-01-12,86.20999908447266,87.72000122070312,85.7300033569336,87.48999786376953,86.18119812011719,1558200,,,,,,,10,21,60,53,-60,-53,86.98000081380208,,,,,,,,0
2022-01-13,87.75,88.29000091552734,86.77999877929688,88.06999969482422,86.75252532958984,1142800,,36.21822543860279,34.78383071849061,,,,10,21,60,53,-60,-53,87.71333312988281,,,,,,,,0
2022-01-14,87.9800033569336,88.18000030517578,86.5999984741211,87.37999725341797,86.0728530883789,1195900,,44.65596965682289,37.388542801971646,,,,10,21,60,53,-60,-53,87.38666534423828,88.44800008138021,,,,,,,0
2022-01-18,86.8499984741211,87.0999984741211,84.91999816894531,86.80000305175781,85.50153350830078,1538200,,45.422236919982105,42.098810671802596,,,,10,21,60,53,-60,-53,86.27333323160808,88.05260610869438,,,,,,,0
2022-01-19,86.58000183105469,87.87999725341797,86.41000366210938,86.87000274658203,85.57048797607422,945000,,47.37679409979189,45.818333558865625,,,,10,21,60,53,-60,-53,87.05333455403645,87.87092037148385,,,,,,,0
